#NENameETypeEVersion,GP,SubNetwork,PM-Reused,IP,Site,ENODEBID
#kj2,ENODEB,L12B,15,ERBS,kj2,BJ
#zlck,ENODEB,L12B,15,ERBS,zlck,BJ
qxgy,ENODEB,L12B,15,ERBS,qxgy,BJ
eNB012,ENODEB,L13B,15,ERBS,eNB012,BJ
GGSN13AS,EPG,13A-S,15,CMCC_Mobile,GGSN13AS,BJ
GGSN13AM,EPG,13A-M,15,CMCC_Mobile,GGSN13AM,BJ
MPG12A_01,GGSNMPG,12A,15,CMCC_Mobile,MPG12A_01,BJ
SAPC13B_CMCC,SAPC,13B,15,CMCC_Mobile,SAPC13B_CMCC,BJ
#SAPC12A01_CMCC,SAPC,12A,15,CMCC_Mobile,SAPC12A01_CMCC,BJ
SGSNMME14A,SGSNMME,14A,15,CMCC_Mobile,SGSNMME14A,BJ
SGSNMME13A01CMCC,SGSNMME,13A,15,CMCC_Mobile,SGSNMME13A01CMCC,BJ
HLRFEEBS13B,HLRBS,13B,15,CMCC_Mobile,HLRFEEBS13B,BJ
HLRFEEBS12A,HLRBS,12A,15,CMCC_Mobile,HLRFEEBS12A,BJ
cudb01,CUDB,13B,15,CMCC_Mobile,cudb01,BJ
cudb02,CUDB,13B,15,CMCC_Mobile,cudb01,BJ
CUDB15,CUDB,11BFD1,15,CMCC_Mobile,CUDB15,BJ
CUDB1501,CUDB,11BFD1,15,CMCC_Mobile,CUDB15,BJ
PG13B,PG,R7_1,15,CMCC_Mobile,PG13B,BJ
PG13B01,PG,R7_1,15,CMCC_Mobile,PG13B,BJ
PG01new,PG,R6_3,15,CMCC_Mobile,PG01new,BJ
PG02new,PG,R6_3,15,CMCC_Mobile,PG01new,BJ
HSS12B-M,HSS,12B-M,15,CMCC_Mobile,HSS12B-M,BJ
HSS14A-M,HSS,14A-M,15,CMCC_Mobile,HSS14A-M,BJ
HSS12A01_CMCC,HSS,12A,15,CMCC_Mobile,HSS12A01_CMCC,BJ
HSS12B01_CMCC,HSS,12B,15,CMCC_Mobile,HSS12B01_CMCC,BJ
HSS14A01,HSS,14A,15,CMCC_Mobile,HSS14A01,BJ
#QDAMME01BER,SGSNMME,13A,15,EPC,QDAMME01BER,WJ_2A
